iter	RMSE
348	4401.891154
349	4400.388658
350	4398.978466
351	4397.66878
352	4395.914776
353	4394.837407
354	4392.794556
355	4391.755756
356	4390.749976
357	4389.613677
358	4388.795755
359	4387.549382
360	4386.088812
361	4384.898363
362	4383.470053
363	4382.430185
364	4381.010593
365	4379.870144
366	4378.582207
367	4376.716847
368	4375.636063
369	4374.496084
370	4372.977296
371	4371.651028
372	4370.763856
373	4369.621189
374	4368.350299
375	4367.173863
376	4365.680833
377	4364.60433
378	4363.835747
379	4362.806078
380	4362.085086
381	4361.016513
382	4359.993517
383	4358.873006
384	4357.695194
385	4356.458218
386	4355.150898
387	4354.24251
388	4352.934869
389	4351.723968
390	4350.37674
391	4349.128745
392	4348.391962
393	4347.125012
394	4346.01772
395	4345.244179
396	4344.371926
397	4343.626843
398	4342.34911
399	4341.195864
